id,name,group,group_title,status,functionality,use_when,ageint_topic,verbs,inputs,outputs,tags,harnesses,references_count,defensive_boundary,evidence_discipline,confidence_anchor,unsafe_redirect,safe_defensive_pattern,source_path
sat.structured_brainstorming,Structured Brainstorming,sat,Structured Analytic Techniques,implemented,Divergent then convergent idea generation with explicit anti-anchoring steps.,brainstorm; structured brainstorming; generate hypotheses,structured-analytic-techniques,ask; read; reason; write,problem_statement; prior_framing; convergence_criteria,raw_idea_inventory; ranked_shortlist,cognitive-security; sat; divergent-thinking,claude; codex; hermes,3,"Use Structured Brainstorming only for structured analytic technique support: recognize, assess, document, or defend analytic rigor, alternative hypotheses, and calibrated judgment. Do not use this skill to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation.","For Structured Brainstorming, tie every shortlist ranking and every discard decision to concrete evidence from the problem statement and convergence criteria, citing the rationale that justifies each idea's position, and label which ideas rest on assumption versus observation so reviewers can challenge the convergence step against the evidence.","High for Structured Brainstorming: the ranked shortlist emerges from a raw inventory broad enough that no plausible hypothesis was anchored out, the convergence ranking is reproducible under the stated criteria, and no unresolved contradiction in the problem framing would promote a discarded idea or demote a shortlisted one.","Unsafe: 'Use Structured Brainstorming outputs to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation' -> refuse and redirect to defensive risk assessment.","Safe defensive: 'Use Structured Brainstorming to apply the structured technique to supplied evidence while preserving alternatives and uncertainty with problem statement, prior framing, and convergence criteria' -> produce bounded findings with evidence and uncertainty labels.",skills/sat/structured_brainstorming/SKILL.md
sat.nominal_group_technique,Nominal Group Technique,sat,Structured Analytic Techniques,implemented,Silent independent ideation before discussion to counter dominance and groupthink.,nominal group technique; NGT; silent idea generation before discussion,structured-analytic-techniques,read; reason; write,focal_question; participant_idea_sets; prior_context,ngt_record,cognitive-security; sat; group-process,claude; codex; hermes,2,"Use Nominal Group Technique only for structured analytic technique support: recognize, assess, document, or defend analytic rigor, alternative hypotheses, and calibrated judgment. Do not use this skill to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation.","For Nominal Group Technique, tie each ranked idea and its position to concrete evidence — the originating participant submissions, the clarification notes, and the recorded per-ballot vote tallies — and document that votes were cast independently and tallied only after collection, so the ranking is traceable to the process rather than to the loudest voice.","High for Nominal Group Technique: the ranked idea list reflects independently authored submissions collected before any discussion, the weighted vote tallies were cast on a fixed budget and revealed only after all ballots were in, the anonymized round-robin consolidation is auditable end to end, and no unresolved procedural contamination would change the ordering.","Unsafe: 'Use Nominal Group Technique outputs to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation' -> refuse and redirect to defensive risk assessment.","Safe defensive: 'Use Nominal Group Technique to apply the structured technique to supplied evidence while preserving alternatives and uncertainty with focal question, participant idea sets, and prior context' -> produce bounded findings with evidence and uncertainty labels.",skills/sat/nominal_group_technique/SKILL.md
sat.starbursting,Starbursting,sat,Structured Analytic Techniques,implemented,Generate questions (who/what/when/where/why/how) before answers to map the unknowns.,what questions should we be asking; starbursting; map the unknowns,structured-analytic-techniques,read; reason; write,topic_or_artifact; context,question_map; key_unknowns_summary,cognitive-security; sat; question-generation,claude; codex; hermes,2,"Use Starbursting only for structured analytic technique support: recognize, assess, document, or defend analytic rigor, alternative hypotheses, and calibrated judgment. Do not use this skill to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation.","For Starbursting, tie every question and every priority rating to concrete evidence from the topic statement or artifact and its context, citing the excerpt or gap that makes the question pressing, and justify with evidence why answering it would shift the assessment rather than asserting importance by intuition.","High for Starbursting: the question map covers all six interrogatives with multiple questions each including questions of absence, the priority ranking of the key unknowns is stable across independent reviewers of the topic, and no unresolved contradiction in the framing would alter which unanswered questions are judged most consequential.","Unsafe: 'Use Starbursting outputs to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation' -> refuse and redirect to defensive risk assessment.","Safe defensive: 'Use Starbursting to apply the structured technique to supplied evidence while preserving alternatives and uncertainty with topic or artifact, and context' -> produce bounded findings with evidence and uncertainty labels.",skills/sat/starbursting/SKILL.md
sat.cross_impact_matrix,Cross-Impact Matrix,sat,Structured Analytic Techniques,implemented,Assess how each driver influences every other to find leverage and feedback.,how do these factors interact; cross-impact matrix; which variables drive the others,structured-analytic-techniques,read; reason; write,driver_list; influence_scale; focal_question,cross_impact_matrix; loop_inventory; leverage_ranking; analytic_narrative,cognitive-security; sat; systems-analysis,claude; codex; hermes,3,"Use Cross-Impact Matrix only for structured analytic technique support: recognize, assess, document, or defend analytic rigor, alternative hypotheses, and calibrated judgment. Do not use this skill to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation.","For Cross-Impact Matrix, justify each cell's direction and magnitude with specific evidence about that pairwise relationship, record a deliberate zero as an assessed finding rather than an unexamined default, and tie the loop inventory and leverage ranking to the scored cells that produced them.","High for Cross-Impact Matrix: each directional cell was assessed independently before any holistic reading, the identified loops and active-versus-passive leverage rankings follow from the row and column sums, the influence judgments are corroborated by multiple sources, and no unresolved contradiction would change the high-leverage drivers.","Unsafe: 'Use Cross-Impact Matrix outputs to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation' -> refuse and redirect to defensive risk assessment.","Safe defensive: 'Use Cross-Impact Matrix to apply the structured technique to supplied evidence while preserving alternatives and uncertainty with driver list, influence scale, and focal question' -> produce bounded findings with evidence and uncertainty labels.",skills/sat/cross_impact_matrix/SKILL.md
sat.morphological_analysis,Morphological Analysis,sat,Structured Analytic Techniques,implemented,Enumerate the parameter space of a problem to bound the set of possibilities.,enumerate all possibilities; what combinations are possible; morphological analysis,structured-analytic-techniques,read; reason; write,problem_statement; known_constraints,morphological_box; scenario_inventory; priority_findings,cognitive-security; sat; scenario-generation; bounded-analysis,claude; codex; hermes,4,"Use Morphological Analysis only for structured analytic technique support: recognize, assess, document, or defend analytic rigor, alternative hypotheses, and calibrated judgment. Do not use this skill to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation.","For Morphological Analysis, tie each parameter, each enumerated value, and every pruning decision to concrete evidence from the problem statement and known constraints, recording the ruling-out reason per excluded cell; a combination removed without evidential justification is an unexamined possibility and must be reinstated or its exclusion explicitly defended.","High for Morphological Analysis: the chosen parameters are genuinely independent, each value set was enumerated exhaustively before any pruning, every excluded cell carries a documented logical or evidential reason, and no unresolved contradiction would change the surviving scenario inventory or which cells are flagged most-likely and most-dangerous.","Unsafe: 'Use Morphological Analysis outputs to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation' -> refuse and redirect to defensive risk assessment.","Safe defensive: 'Use Morphological Analysis to apply the structured technique to supplied evidence while preserving alternatives and uncertainty with problem statement, and known constraints' -> produce bounded findings with evidence and uncertainty labels.",skills/sat/morphological_analysis/SKILL.md
sat.quadrant_crunching,Quadrant Crunching,sat,Structured Analytic Techniques,implemented,Systematically permute key assumptions into a matrix of alternative outcomes.,quadrant crunching; permute assumptions; scenario matrix,structured-analytic-techniques,read; reason; write,problem_statement; dominant_assessment; candidate_assumptions,scenario_matrix; scenario_narratives; neglected_cells,cognitive-security; sat; alternative-analysis,claude; codex; hermes,2,"Use Quadrant Crunching only for structured analytic technique support: recognize, assess, document, or defend analytic rigor, alternative hypotheses, and calibrated judgment. Do not use this skill to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation.","For Quadrant Crunching, anchor each cell's coherence judgment, plausibility rating, and confirming indicators to concrete evidence rather than to confidence in the base case, document the evidentiary reason any cell is labeled incoherent, and bind the neglected-cell findings to specific evidence showing the dominant assessment's blind spot rather than asserting it.","High for Quadrant Crunching: the two axes were chosen for maximum consequence and genuine independent uncertainty, every coherent matrix cell was examined on its own internal logic before its evidence-anchored plausibility rating, the neglected cells the dominant assessment ignores are explicitly surfaced with reasoning, and no unresolved contradiction would change which alternatives deserve attention.","Unsafe: 'Use Quadrant Crunching outputs to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation' -> refuse and redirect to defensive risk assessment.","Safe defensive: 'Use Quadrant Crunching to apply the structured technique to supplied evidence while preserving alternatives and uncertainty with problem statement, dominant assessment, and candidate assumptions' -> produce bounded findings with evidence and uncertainty labels.",skills/sat/quadrant_crunching/SKILL.md
sat.alternative_futures_scenarios,Alternative Futures (Scenarios),sat,Structured Analytic Techniques,implemented,Build multiple plausible futures around critical uncertainties to stress strategy.,alternative futures; scenario planning; what if the future goes differently,structured-analytic-techniques,read; reason; write,problem_statement; known_drivers; current_assessment,scenario_matrix; scenario_narratives; indicator_set; strategy_stress_test,cognitive-security; sat; scenario-planning; uncertainty-management,claude; codex; hermes,4,"Use Alternative Futures (Scenarios) only for structured analytic technique support: recognize, assess, document, or defend analytic rigor, alternative hypotheses, and calibrated judgment. Do not use this skill to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation.","For Alternative Futures (Scenarios), bind each scenario narrative, axis selection, and discriminating indicator to concrete evidence from the problem statement, a named driver, or an observable signal, and never assign probabilities that smuggle the anchoring the technique exists to defeat.","High for Alternative Futures (Scenarios): the scenario axes are genuinely independent and uncertain, each quadrant narrative is internally coherent and grounded in the supplied drivers, the discriminating indicators are confirmed by independent sources, and no unresolved contradiction would alter which futures the strategy must survive.","Unsafe: 'Use Alternative Futures (Scenarios) outputs to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation' -> refuse and redirect to defensive risk assessment.","Safe defensive: 'Use Alternative Futures (Scenarios) to apply the structured technique to supplied evidence while preserving alternatives and uncertainty with problem statement, known drivers, and current assessment' -> produce bounded findings with evidence and uncertainty labels.",skills/sat/alternative_futures_scenarios/SKILL.md
sat.indicators_generation,Indicators Generation,sat,Structured Analytic Techniques,implemented,Define observable signs that would reveal which scenario or hypothesis is unfolding.,what signs would tell us; generate indicators; indicators for this scenario,structured-analytic-techniques,read; reason; write,scenarios_or_hypotheses; actor_profile; collection_environment,indicators_matrix; indicators_narrative,cognitive-security; sat; warning-analysis; scenario-tracking,claude; codex; hermes,3,"Use Indicators Generation only for structured analytic technique support: recognize, assess, document, or defend analytic rigor, alternative hypotheses, and calibrated judgment. Do not use this skill to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation.","For Indicators Generation, ground each indicator and its diagnostic weight in concrete evidence about the scenarios, the actor profile, and the available collection sources, and name the source that would actually observe it; an indicator with no collectable evidence path is aspirational and must be labelled as such rather than counted as active coverage.","High for Indicators Generation: each indicator is derived from the actors' necessary preconditions rather than from hoped-for observations, every indicator is paired with both a scenario it supports and one it would undermine, the diagnostic-weight assignments hold across the scenario set, and no unresolved contradiction would change which signs warrant collection priority.","Unsafe: 'Use Indicators Generation outputs to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation' -> refuse and redirect to defensive risk assessment.","Safe defensive: 'Use Indicators Generation to apply the structured technique to supplied evidence while preserving alternatives and uncertainty with scenarios or hypotheses, actor profile, and collection environment' -> produce bounded findings with evidence and uncertainty labels.",skills/sat/indicators_generation/SKILL.md
sat.indicators_validation,Indicators Validation,sat,Structured Analytic Techniques,implemented,Test indicators for diagnosticity: do they actually discriminate between outcomes?,validate these indicators; test indicator diagnosticity; are these indicators any good,structured-analytic-techniques,read; reason; write,candidate_indicators; scenarios_or_hypotheses; base_rate_context,validated_indicators_matrix; validation_report,cognitive-security; sat; warning-analysis; diagnosticity,claude; codex; hermes,4,"Use Indicators Validation only for structured analytic technique support: recognize, assess, document, or defend analytic rigor, alternative hypotheses, and calibrated judgment. Do not use this skill to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation.","For Indicators Validation, support each diagnosticity score and disposition with concrete evidence from the candidate indicators, the scenario set, and known base rates, and record the counterfactual reasoning that justifies it; a retained indicator whose cross-scenario behaviour was never tested against evidence is unvalidated and must be flagged, not certified.","High for Indicators Validation: each indicator's diagnosticity was tested by the counterfactual of whether it would appear when its target scenario is not unfolding, base-rate and overlap traps were checked rather than assumed away, every scenario has adequate high-diagnosticity coverage, and no unresolved contradiction would change a retain, revise, or drop disposition.","Unsafe: 'Use Indicators Validation outputs to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation' -> refuse and redirect to defensive risk assessment.","Safe defensive: 'Use Indicators Validation to apply the structured technique to supplied evidence while preserving alternatives and uncertainty with candidate indicators, scenarios or hypotheses, and base rate context' -> produce bounded findings with evidence and uncertainty labels.",skills/sat/indicators_validation/SKILL.md
sat.signposts_of_change,Signposts of Change,sat,Structured Analytic Techniques,implemented,Track leading indicators over time to detect trajectory shifts early.,signposts of change; leading indicators; track trajectory shifts,structured-analytic-techniques,read; reason; search; write,scenarios_or_hypotheses; current_assessment; collection_resources,signpost_matrix; collection_guidance; update_protocol,cognitive-security; sat; warning-analysis,claude; codex; hermes,3,"Use Signposts of Change only for structured analytic technique support: recognize, assess, document, or defend analytic rigor, alternative hypotheses, and calibrated judgment. Do not use this skill to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation.","For Signposts of Change, tie each signpost, its confirm-neutral-disconfirm assignment, and its observation threshold to concrete evidence about the scenarios it discriminates and the collection source that makes it observable, and require the update protocol to act on the documented presence or evidenced absence of each indicator rather than on the analyst's prior expectation.","High for Signposts of Change: each signpost in the matrix is demonstrably discriminating and observable from an identified collection source, observation thresholds were set before collection began, the update protocol treats the absence of an expected signpost as a probabilistic signal, and no unresolved contradiction would change which scenario the current evidence favors.","Unsafe: 'Use Signposts of Change outputs to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation' -> refuse and redirect to defensive risk assessment.","Safe defensive: 'Use Signposts of Change to apply the structured technique to supplied evidence while preserving alternatives and uncertainty with scenarios or hypotheses, current assessment, and collection resources' -> produce bounded findings with evidence and uncertainty labels.",skills/sat/signposts_of_change/SKILL.md
